linkage,threshold,n_clusters,silhouette,davies_bouldin
average,0.5,2869,0.14388801278871605,1.2165191405972946
average,0.6,1249,0.14054203931989048,1.5551970480580792
average,0.7,595,0.1129232786728001,1.831523368114278
average,0.75,439,0.10158777599269847,1.9260281072174499
average,0.8,333,0.08833099434326372,2.0780317903729717
average,0.85,243,0.06216844986120413,2.240507681781023
average,0.9,149,0.01740516153310665,2.6740680624707456
average,0.95,39,-0.001746028877512574,3.540746201969147
complete,0.5,4530,0.12952809733395731,1.1710288022476258
complete,0.6,2834,0.1273914553230922,1.5020925201780917
complete,0.7,1519,0.1239245986374971,1.8095240408334687
complete,0.75,1088,0.11855773533116161,1.8804345164238474
complete,0.8,844,0.11082719854416657,1.9380372565036148
complete,0.85,666,0.10411776180777804,1.9800825965379258
complete,0.9,517,0.09481752375817798,2.029114582016962
complete,0.95,354,0.07516785767617447,2.1980418745589234
single,0.5,136,-0.06778525704852033,1.0032566034624746
single,0.6,4,0.015837669151301595,0.9858988516872369
single,0.7,1,,
single,0.75,1,,
single,0.8,1,,
single,0.85,1,,
single,0.9,1,,
single,0.95,1,,
