eps,min_samples,n_clusters,n_noise,noise_pct,silhouette
0.05,3,367,7838,50.3,0.03732743859291077
0.05,5,171,8882,57.01,0.13219183683395386
0.05,8,94,9857,63.26,0.23229581117630005
0.05,10,82,10264,65.88,0.28320780396461487
0.05,15,54,11241,72.15,0.3960350453853607
0.1,3,104,2851,18.3,-0.43171826004981995
0.1,5,54,3274,21.01,-0.38481706380844116
0.1,8,34,3815,24.48,-0.33823662996292114
0.1,10,25,4090,26.25,-0.3322736918926239
0.1,15,14,4631,29.72,-0.10326037555932999
0.15,3,21,1015,6.51,-0.19727525115013123
0.15,5,9,1124,7.21,0.01971002109348774
0.15,8,3,1291,8.29,0.0812293067574501
0.15,10,1,1358,8.72,
0.15,15,3,1547,9.93,0.043701134622097015
0.2,3,3,330,2.12,0.21099542081356049
0.2,5,4,363,2.33,-0.06323005259037018
0.2,8,1,413,2.65,
0.2,10,1,448,2.88,
0.2,15,1,477,3.06,
0.25,3,1,108,0.69,
0.25,5,1,117,0.75,
0.25,8,1,125,0.8,
0.25,10,1,134,0.86,
0.25,15,1,151,0.97,
0.3,3,1,27,0.17,
0.3,5,1,27,0.17,
0.3,8,1,35,0.22,
0.3,10,1,35,0.22,
0.3,15,1,37,0.24,
0.35,3,1,10,0.06,
0.35,5,1,10,0.06,
0.35,8,1,11,0.07,
0.35,10,1,13,0.08,
0.35,15,1,13,0.08,
