eps,min_samples,n_clusters,n_noise,noise_pct,silhouette
0.4,3,24,1325,8.5,-0.07641526513848067
0.4,5,11,1675,10.75,-0.07529555113246736
0.4,8,12,2204,14.15,-0.06504564071312609
0.4,10,13,2554,16.39,-0.029643386304753244
0.4,15,20,3405,21.85,-0.060957715844436884
0.5,3,1,137,0.88,
0.5,5,1,152,0.98,
0.5,8,1,214,1.37,
0.5,10,1,256,1.64,
0.5,15,1,383,2.46,
0.6,3,1,3,0.02,
0.6,5,1,3,0.02,
0.6,8,1,4,0.03,
0.6,10,1,4,0.03,
0.6,15,1,4,0.03,
0.65,3,1,0,0.0,
0.65,5,1,0,0.0,
0.65,8,1,0,0.0,
0.65,10,1,0,0.0,
0.65,15,1,0,0.0,
0.7,3,1,0,0.0,
0.7,5,1,0,0.0,
0.7,8,1,0,0.0,
0.7,10,1,0,0.0,
0.7,15,1,0,0.0,
0.75,3,1,0,0.0,
0.75,5,1,0,0.0,
0.75,8,1,0,0.0,
0.75,10,1,0,0.0,
0.75,15,1,0,0.0,
0.8,3,1,0,0.0,
0.8,5,1,0,0.0,
0.8,8,1,0,0.0,
0.8,10,1,0,0.0,
0.8,15,1,0,0.0,
