k,bic,silhouette,inertia
2,-10541.038386639599,0.3046857416629791,7911.2158203125
3,-12055.556228912394,0.23542076349258423,7173.96875
4,-13517.158980458606,0.2861505150794983,6527.556640625
5,-14199.012283042566,0.2619117200374603,6244.18896484375
6,-14845.157861336722,0.24964281916618347,5986.8271484375
7,-15378.769392695824,0.22684435546398163,5781.6806640625
8,-15734.489607427748,0.2227727621793747,5647.677734375
9,-16209.104244573522,0.2233833223581314,5474.84375
10,-16597.73591904358,0.2315405011177063,5336.66796875
11,-16919.081521514185,0.23628851771354675,5224.49267578125
12,-17198.108152342244,0.22683219611644745,5128.5859375
13,-17371.233809663314,0.23419393599033356,5068.7744140625
14,-17714.075983010818,0.23122648894786835,4955.388671875
15,-17914.98674470516,0.22449979186058044,4888.87109375
