k,bic,silhouette,inertia
2,-869.816554027029,0.03957639472895668,14716.768859653715
3,-1098.6223111820473,0.04747880371868385,14493.250709488353
4,-1341.4968627339977,0.05997686534364145,14260.24531107182
5,-1514.9752059044918,0.061700463573414015,14093.617874805408
6,-1629.7267249521465,0.05834070694252982,13981.536487499292
7,-1720.7254390402368,0.05479882165061179,13891.507528884395
8,-1955.2467880379527,0.06552022529100128,13675.50592220568
9,-1981.049952531274,0.05625612163498329,13644.420579453137
10,-2114.7156978627254,0.06302501985936902,13519.489829066422
11,-2213.2171026760743,0.06788537882949099,13425.96951028223
12,-2312.760401735756,0.06618474755881415,13332.204564954009
13,-2458.826887377425,0.0704992742061794,13199.622909016198
14,-2581.9813756651947,0.07799155861927139,13087.59098100405
15,-2665.6807952793006,0.08167768161942107,13009.411400027693
